gene_id,disease_id,molecule_a,molecule_b,type_a,type_b,host_organism,positive_interaction
565,1,YAP1,1433s_human_gene,protein,gene,Homo sapiens MCF10a non-transformed breast epithelial cell,1
566,1,YAP1,bcl2l1_human_gene,protein,gene,Homo sapiens HuTu80 duodenum adenocarcinoma cell,1
567,1,YAP1,birc5_human_gene,protein,gene,Homo sapiens HuTu80 duodenum adenocarcinoma cell,1
568,1,ZNF148,rnls_human_gene,protein,gene,Homo sapiens HEK293 embryonic kidney cell,1
569,1,ZNF746,g6pc_human_gene,protein,gene,Homo sapiens SH-SY5Y cell,1
570,1,ZNF746,g6pc_human_gene,protein,gene,Homo sapiens brain,1
571,1,ZNF746,pckcg_human_gene,protein,gene,Homo sapiens brain,1
572,1,ZNF746,prgc1_human_gene,protein,gene,Homo sapiens SH-SY5Y cell,1
573,2,cdkn1a_human_gene,TP53,gene,protein,Homo sapiens mammary epithelium,1
574,2,cdkn1a_human_gene,TP53,gene,protein,Homo sapiens BJ foreskin fibroblast cell,1
575,2,TP53,cdkn1a_human_gene,protein,gene,In vitro,1
576,2,TP53,cdkn1a_human_gene,protein,gene,Homo sapiens,1
577,2,TP53,cdkn1a_human_gene,protein,gene,Homo sapiens,1
578,2,AR,klk3_human_gene,protein,gene,Homo sapiens prostate tissue,1
579,2,RELA,ikba_human_gene,protein,gene,In vitro,1
580,2,RELA,ikba_human_gene,protein,gene,Homo sapiens HEK293T embryonic kidney cell,1
581,2,il8_human_gene,RELA,gene,protein,Homo sapiens H4 neurogioma cell,1
582,2,il8_human_gene,RELA,gene,protein,Homo sapiens Chang liver cell,1
583,2,il8_human_gene,RELA,gene,protein,Homo sapiens HEK293 embryonic kidney cell,1
584,2,RELA,il8_human_gene,protein,gene,Homo sapiens conjunctival epithelium,1
585,2,RELA,il8_human_gene,protein,gene,Homo sapiens Chang liver cell,1
586,2,RELA,il8_human_gene,protein,gene,Homo sapiens conjunctival epithelium,1
587,2,GCM1,htra4_human_gene,protein,gene,In vitro,1
588,2,GCM1,htra4_human_gene,protein,gene,In vitro,1
589,2,GCM1,htra4_human_gene,protein,gene,In vitro,1
590,2,htra4_human_gene,GCM1,gene,protein,In vitro,1
591,2,htra4_human_gene,GCM1,gene,protein,In vitro,1
592,2,foxp3_human_gene,H4C16,gene,protein,Homo sapiens CD4+ T-cell,1
593,2,foxp3_human_gene,H4C16,gene,protein,Homo sapiens regulatory T-lymphocyte,1
594,2,foxp3_human_gene,H4C16,gene,protein,Homo sapiens CD4+ T-cell,1
595,2,HIF1A,vegfa_human_gene,protein,gene,Homo sapiens HEK293T embryonic kidney cell,1
596,2,HIF1A,vegfa_human_gene,protein,gene,Homo sapiens SMMC7721 hepatoma cell,1
597,2,hoxa9_human_gene,KMT2A,gene,protein,Homo sapiens HEK293 embryonic kidney cell,1
598,2,hoxa9_human_gene,KMT2A,gene,protein,Homo sapiens HEK293T embryonic kidney cell,1
599,2,hoxa9_human_gene,KMT2A,gene,protein,Homo sapiens HEK293T embryonic kidney cell,1
600,2,hoxa9_human_gene,KMT2A,gene,protein,Homo sapiens peripheral blood mononuclear cell,1
601,2,vegfa_human_gene,HIF1A,gene,protein,Homo sapiens SMMC7721 hepatoma cell,1
602,2,mmp1_human_gene,JUN,gene,protein,Homo sapiens diploid fibroblast,1
603,2,mmp1_human_gene,JUN,gene,protein,In vitro,1
604,2,mmp1_human_gene,JUN,gene,protein,Homo sapiens diploid fibroblast,1
605,2,irf1_human_gene,STAT1,gene,protein,Homo sapiens CD4+ T-cell,1
606,2,irf1_human_gene,STAT1,gene,protein,In vitro,1
607,2,mdm2_human_gene,TP53,gene,protein,Homo sapiens BJ foreskin fibroblast cell,1
608,2,RELA,birc3_human_gene,protein,gene,Homo sapiens U251 glioma cell,1
609,2,RELA,birc3_human_gene,protein,gene,Homo sapiens HEK293 embryonic kidney cell,1
610,2,bim_human_gene,FOXO3,gene,protein,In vitro,1
611,2,htra4_human_gene,htra4_human_gene,gene,gene,In vitro,1
612,2,htra4_human_gene,htra4_human_gene,gene,gene,In vitro,1
613,2,PARP1,brca2_human_gene,protein,gene,In vitro,1
614,2,PARP1,brca2_human_gene,protein,gene,In vitro,1
615,2,PARP1,brca2_human_gene,protein,gene,In vitro,1
616,2,fkbp5_human_gene,ERG,gene,protein,Homo sapiens RWPE1 epithelial cell,1
617,2,klk3_human_gene,ERG,gene,protein,Homo sapiens RWPE1 epithelial cell,1
618,2,POU5F1,sox2_human_gene,protein,gene,Homo sapiens ES embryonic stem cell,1
619,2,POU5F1,sox2_human_gene,protein,gene,Homo sapiens NCCIT germ cell line.,1
620,2,RFX5,dra_human_gene,protein,gene,In vitro,1
621,2,RFX5,dra_human_gene,protein,gene,In vitro,1
622,2,sox2_human_gene,POU5F1,gene,protein,Homo sapiens ES embryonic stem cell,1
623,2,tmps2_human_gene,ERG,gene,protein,Homo sapiens RWPE1 epithelial cell,1
624,2,axin2_human_gene,CTNNB1,gene,protein,Homo sapiens MD11 glioblastoma cell,1
625,2,ccl2_human_gene,RELA,gene,protein,Homo sapiens peripheral blood mononuclear cell,1
626,2,ccl2_human_gene,RELA,gene,protein,Homo sapiens HEK293 embryonic kidney cell,1
627,2,cdkn1a_human_gene,EP300,gene,protein,Homo sapiens BJ foreskin fibroblast cell,1
628,2,cdkn1a_human_gene,RELA,gene,protein,Homo sapiens thoracic aorta smooth muscle cell,1
629,2,cdkn1a_human_gene,RELA,gene,protein,Homo sapiens thoracic aorta smooth muscle cell,1
630,2,CREBBP,il8_human_gene,protein,gene,Homo sapiens H4 neurogioma cell,1
631,2,CREM,fos_human_gene,protein,gene,Homo sapiens T-cell,1
632,2,CREM,il2_human_gene,protein,gene,Homo sapiens CD4+ T-cell,1
633,2,crem_human_gene,SP1,gene,protein,Homo sapiens T-cell,1
634,2,crem_human_gene,SP1,gene,protein,Homo sapiens T-cell,1
635,2,E2F1,casp7_human_gene,protein,gene,Homo sapiens T98G caucasian glioblastoma cell,1
636,2,E2F1,ccna2_human_gene,protein,gene,Homo sapiens IMR-90 embryonic fetal lung fibroblast cell,1
637,2,E2F1,ccna2_human_gene,protein,gene,Homo sapiens T98G caucasian glioblastoma cell,1
638,2,E2F1,tp73_human_gene,protein,gene,Homo sapiens IMR-90 embryonic fetal lung fibroblast cell,1
639,2,fos_human_gene,CREM,gene,protein,Homo sapiens T-cell,1
640,2,HDAC1,il2_human_gene,protein,gene,Homo sapiens T-cell,1
641,2,hoxa7_human_gene,KMT2A,gene,protein,Homo sapiens HEK293T embryonic kidney cell,1
642,2,hoxa7_human_gene,KMT2A,gene,protein,Homo sapiens peripheral blood mononuclear cell,1
643,2,icam1_human_gene,RELA,gene,protein,Homo sapiens umbilical vein endotheliium,1
644,2,icam1_human_gene,RELA,gene,protein,Homo sapiens umbilical vein endotheliium,1
645,2,il2_human_gene,CREM,gene,protein,Homo sapiens T-cell,1
646,2,il2_human_gene,FOXP3,gene,protein,Homo sapiens T-cell,1
647,2,il2_human_gene,FOXP3,gene,protein,Homo sapiens CD4+ T-cell,1
648,2,il2_human_gene,HDAC1,gene,protein,Homo sapiens T-cell,1
649,2,JUN,mmp9_human_gene,protein,gene,Homo sapiens thoracic aorta smooth muscle cell,1
650,2,KLF10,foxp3_human_gene,protein,gene,Homo sapiens CD4+ T-cell,1
651,2,mmp9_human_gene,JUN,gene,protein,Homo sapiens thoracic aorta smooth muscle cell,1
652,2,NFATC2,il2_human_gene,protein,gene,Homo sapiens peripheral blood CD4+ T cell,1
653,2,NR5A1,star_human_gene,protein,gene,Homo sapiens TERT-E6/E7 adipose mesenchymal cell,1
654,2,PRKDC,klk3_human_gene,protein,gene,Homo sapiens RWPE1 epithelial cell,1
655,2,PRKDC,pla1a_human_gene,protein,gene,Homo sapiens RWPE1 epithelial cell,1
656,2,RELA,birc2_human_gene,protein,gene,Homo sapiens U251 glioma cell,1
657,2,RELA,tnfa_human_gene,protein,gene,Homo sapiens HEK293 embryonic kidney cell,1
658,2,star_human_gene,NR5A1,gene,protein,Homo sapiens H295R adrenocortical cell,1
659,2,tmps2_human_gene,PRKDC,gene,protein,Homo sapiens RWPE1 epithelial cell,1
660,2,tnfa_human_gene,RELA,gene,protein,Homo sapiens monocyte-derived dendritic cell,1
661,2,tp73_human_gene,E2F1,gene,protein,Homo sapiens T98G caucasian glioblastoma cell,1
662,2,cd44_human_gene,TP53,gene,protein,Homo sapiens mammary epithelium,1
663,2,HMGA1,il2ra_human_gene,protein,gene,In vitro,1
664,2,il2ra_human_gene,HMGA1,gene,protein,Homo sapiens YT natural-killer-like cell,1
665,2,il2ra_human_gene,HMGA1,gene,protein,Homo sapiens YT natural-killer-like cell,1
666,2,il2ra_human_gene,STAT5A,gene,protein,In vitro,1
667,2,N,pgh2_human_gene,protein,gene,Homo sapiens HEK293T embryonic kidney cell,1
668,2,N,pgh2_human_gene,protein,gene,Homo sapiens HEK293T embryonic kidney cell,1
669,2,N,pgh2_human_gene,protein,gene,In vitro,1
670,2,N,pgh2_human_gene,protein,gene,In vitro,1
671,2,pgh2_human_gene,N,gene,protein,Homo sapiens HEK293T embryonic kidney cell,1
672,2,POU5F1,nanog_human_gene,protein,gene,Homo sapiens NCCIT germ cell line.,1
673,2,POU5F1,nanog_human_gene,protein,gene,In vitro,1
674,2,SP1,tf65_human_gene,protein,gene,In vitro,1
675,2,SP1,tf65_human_gene,protein,gene,Homo sapiens HEK293 embryonic kidney cell,1
676,2,STAT5A,il2ra_human_gene,protein,gene,Homo sapiens YT natural-killer-like cell,1
677,2,tf65_human_gene,SP1,gene,protein,Homo sapiens HEK293 embryonic kidney cell,1
678,2,tf65_human_gene,ZBTB2,gene,protein,In vitro,1
679,2,TP53,cd44_human_gene,protein,gene,In vitro,1
680,2,ZBTB2,tf65_human_gene,protein,gene,Homo sapiens HEK293 embryonic kidney cell,1
681,2,foxp3_human_gene,STAT1,gene,protein,Homo sapiens CD4+ T-cell,1
682,2,RELA,bcl10_human_gene,protein,gene,In vitro,1
683,2,STAT1,foxp3_human_gene,protein,gene,In vitro,1
684,2,3bhs2_human_gene,CEBPB,gene,protein,Homo sapiens TERT-E6/E7 adipose mesenchymal cell,1
685,2,3bhs2_human_gene,CEBPB,gene,protein,Homo sapiens TERT-E6/E7 adipose mesenchymal cell,1
686,2,3bhs2_human_gene,NR5A1,gene,protein,Homo sapiens TERT-E6/E7 adipose mesenchymal cell,1
687,2,3bhs2_human_gene,NR5A1,gene,protein,Homo sapiens TERT-E6/E7 adipose mesenchymal cell,1
688,2,andr_human_gene,FOXO3,gene,protein,In vitro,1
689,2,anf_rat_gene,CAMTA2,gene,protein,Rattus norvegicus heart,1
690,2,anf_rat_gene,CAMTA2,gene,protein,Chlorocebus aethiops COS-1 cells,1
691,2,anf_rat_gene,CAMTA2,gene,protein,In vitro,1
692,2,ASAH1,cp17a_human_gene,protein,gene,Homo sapiens H295R adrenocortical cell,1
693,2,CDC73,gata2_human_gene,protein,gene,Homo sapiens peripheral blood mononuclear cell,1
694,2,cdkn1b_human_gene,FOXO3,gene,protein,In vitro,1
695,2,cp17a_human_gene,ASAH1,gene,protein,Homo sapiens H295R adrenocortical cell,1
696,2,cp17a_human_gene,NR5A1,gene,protein,Homo sapiens H295R adrenocortical cell,1
697,2,gata1_human_gene,CDC73,gene,protein,Homo sapiens peripheral blood mononuclear cell,1
698,2,NR5A1,cp17a_human_gene,protein,gene,Homo sapiens H295R adrenocortical cell,1
699,2,TRIM33,gata1_human_gene,protein,gene,Homo sapiens peripheral blood mononuclear cell,1
700,2,TRIM33,gata2_human_gene,protein,gene,Homo sapiens peripheral blood mononuclear cell,1
701,2,bcl2_human_gene,P0C6X7-PRO_0000037311,gene,protein,In vitro,1
702,2,cdn1b_mouse_gene,FOXO3,gene,protein,In vitro,1
703,2,cdn1b_mouse_gene,FOXO3,gene,protein,In vitro,1
704,2,cdn1b_mouse_gene,FOXO3,gene,protein,In vitro,1
705,2,foxo3-myc_human,cdn1b_mouse_gene,stable complex,gene,In vitro,1
706,2,FOXO3,tnfl6_human_gene,protein,gene,In vitro,1
707,2,tnfl6_human_gene,bim_human_gene,gene,gene,In vitro,1
708,2,tnfl6_human_gene,bim_human_gene,gene,gene,In vitro,1
709,2,tnfl6_human_gene,FOXO3,gene,protein,In vitro,1
710,2,tnfl6_human_gene,FOXO3,gene,protein,In vitro,1
711,2,tnfl6_human_gene,FOXO3,gene,protein,In vitro,1
712,2,tnfl6_human_gene,tnfl6_human_gene,gene,gene,In vitro,1
713,2,mir128-1 gene,JUN,gene,protein,Homo sapiens U-87 MG glioblastoma cell,1
714,2,ATF4,apoe_human_gene,protein,gene,Homo sapiens HEK293 embryonic kidney cell,1
715,2,ccl5_human_gene,GATA1,gene,protein,In vitro,1
716,2,ccl5_human_gene,GATA2,gene,protein,In vitro,1
717,2,ccl5_human_gene,GATA3,gene,protein,In vitro,1
718,2,cd44_human_gene,LEF1,gene,protein,In vitro,1
719,2,cd44_human_gene,LEF1,gene,protein,In vitro,1
720,2,cd44_human_gene,MLLT11,gene,protein,In vitro,1
721,2,cd44_human_gene,MLLT11,gene,protein,In vitro,1
722,2,co1a2_human_gene,SMAD2,gene,protein,In vitro,1
723,2,co1a2_human_gene,SP1,gene,protein,Homo sapiens diploid fibroblast,1
724,2,CREBBP,ikba_human_gene,protein,gene,Homo sapiens HEK293T embryonic kidney cell,1
725,2,CRY1,dbp_mouse_gene,protein,gene,Mus musculus embryonic fibroblasts,1
726,2,CRY1,per2_mouse_gene,protein,gene,Mus musculus embryonic fibroblasts,1
727,2,dbloh_human_gene,E2F1,gene,protein,Homo sapiens bone marrow stroma,1
728,2,dbloh_human_gene,PAWR,gene,protein,Homo sapiens bone marrow stroma,1
729,2,ELK1,pert_human_gene,protein,gene,Homo sapiens thyroid gland,1
730,2,ELK1,tert_human_gene,protein,gene,Homo sapiens thyroid gland,1
731,2,EP300,ikba_human_gene,protein,gene,Homo sapiens HEK293T embryonic kidney cell,1
732,2,FAM47E,ccnd1_human_gene,protein,gene,Homo sapiens HEK293 embryonic kidney cell,1
733,2,FAM47E,dclk1_human_gene,protein,gene,Homo sapiens HEK293 embryonic kidney cell,1
734,2,FAM47E,ptx3_human_gene,protein,gene,Homo sapiens HEK293 embryonic kidney cell,1
735,2,FAM47E,pyr1_human_gene,protein,gene,Homo sapiens HEK293 embryonic kidney cell,1
736,2,fas_human_gene,CTBP2,gene,protein,Homo sapiens SNB-19 glioblastoma cell,1
737,2,fas_human_gene,KDM1A,gene,protein,Homo sapiens SNB-19 glioblastoma cell,1
738,2,fas_human_gene,ZBTB18,gene,protein,Homo sapiens SNB-19 glioblastoma cell,1
739,2,fas_human_gene,ZNF217,gene,protein,Homo sapiens SNB-19 glioblastoma cell,1
740,2,FOXE1,pert_human_gene,protein,gene,Homo sapiens thyroid gland,1
741,2,FOXE1,tert_human_gene,protein,gene,Homo sapiens thyroid gland,1
742,2,H4C16,invo_human_gene,protein,gene,Homo sapiens keratinocyte,1
743,2,HOXA9,ccl2_human_gene,protein,gene,Homo sapiens U-87 MG glioblastoma cell,1
744,2,HOXA9,ccl2_human_gene,protein,gene,Homo sapiens U-87 MG glioblastoma cell,1
745,2,icos_human_gene,ROCK2,gene,protein,Homo sapiens peripheral blood CD4+ T cell,1
746,2,ifi27_human_gene,IRF1,gene,protein,Homo sapiens HEK293 embryonic kidney cell,1
747,2,ikba_human_gene,MACROD1,gene,protein,Homo sapiens HEK293T embryonic kidney cell,1
748,2,il6_human_gene,CEBPB,gene,protein,Homo sapiens 22rv1 cell,1
749,2,invo_human_gene,PRMT5,gene,protein,Homo sapiens keratinocyte,1
750,2,IRF1,ccl2_human_gene,protein,gene,Homo sapiens U-87 MG glioblastoma cell,1
751,2,IRF1,ccl2_human_gene,protein,gene,Homo sapiens U-87 MG glioblastoma cell,1
752,2,irf1_human_gene,STAT6,gene,protein,In vitro,1
753,2,IRF3,ifi27_human_gene,protein,gene,Homo sapiens HEK293 embryonic kidney cell,1
754,2,IRF4,ifi27_human_gene,protein,gene,Homo sapiens HEK293 embryonic kidney cell,1
755,2,KDM1A,acaca_human_gene,protein,gene,Homo sapiens SNB-19 glioblastoma cell,1
756,2,KDM1A,ldrl_human_gene,protein,gene,Homo sapiens SNB-19 glioblastoma cell,1
757,2,KDM1A,lss_human_gene,protein,gene,Homo sapiens SNB-19 glioblastoma cell,1
758,2,KDM1A,sqle_human_gene,protein,gene,Homo sapiens SNB-19 glioblastoma cell,1
759,2,KDM1A,srbp1_human_gene,protein,gene,Homo sapiens SNB-19 glioblastoma cell,1
760,2,klf9_human_gene,GTF2H2,gene,protein,Homo sapiens diploid fibroblast,1
761,2,NFATC3,myocardin,protein,gene,Homo sapiens cardiomyocyte,1
762,2,NFIL3,il3_human_gene,protein,gene,In vitro,1
763,2,NFKB1,ikba_human_gene,protein,gene,Homo sapiens HEK293T embryonic kidney cell,1
764,2,NR5A2,cp7a1_human_gene,protein,gene,In vitro,1
765,2,PBX2,ccl2_human_gene,protein,gene,Homo sapiens U-87 MG glioblastoma cell,1
766,2,PBX2,ccl2_human_gene,protein,gene,Homo sapiens U-87 MG glioblastoma cell,1
767,2,PKNOX1,ccl2_human_gene,protein,gene,Homo sapiens U-87 MG glioblastoma cell,1
768,2,PKNOX1,ccl2_human_gene,protein,gene,Homo sapiens U-87 MG glioblastoma cell,1
769,2,POU5F1,ga45g_human_gene,protein,gene,In vitro,1
770,2,POU5F1,lfty2_human_gene,protein,gene,Homo sapiens NCCIT germ cell line.,1
771,2,POU5F1,ubp44_human_gene,protein,gene,In vitro,1
772,2,prdm1_human_gene,ROCK2,gene,protein,Homo sapiens peripheral blood CD4+ T cell,1
773,2,prkra_human_gene,Sp1,gene,protein,In vitro,1
774,2,PRMT5,ccnd1_human_gene,protein,gene,Homo sapiens HEK293 embryonic kidney cell,1
775,2,PRMT5,dclk1_human_gene,protein,gene,Homo sapiens HEK293 embryonic kidney cell,1
776,2,PRMT5,dclk1_human_gene,protein,gene,Homo sapiens HEK293 embryonic kidney cell,1
777,2,PRMT5,ptx3_human_gene,protein,gene,Homo sapiens HEK293 embryonic kidney cell,1
778,2,PRMT5,pyr1_human_gene,protein,gene,Homo sapiens HEK293 embryonic kidney cell,1
779,2,PRMT5,tnap3_human_gene,protein,gene,Homo sapiens HEK293 embryonic kidney cell,1
780,2,ROCK2,a0a087wzx0_human_gene,protein,gene,Homo sapiens peripheral blood CD4+ T cell,1
781,2,ROCK2,c9jl16_human_gene,protein,gene,Homo sapiens peripheral blood CD4+ T cell,1
782,2,ROCK2,cxcr5_human_gene,protein,gene,Homo sapiens peripheral blood CD4+ T cell,1
783,2,ROCK2,f8wb75_human_gene,protein,gene,Homo sapiens peripheral blood CD4+ T cell,1
784,2,ROCK2,g3v266_human_gene,protein,gene,Homo sapiens peripheral blood CD4+ T cell,1
785,2,ROCK2,irf4_human_gene,protein,gene,Homo sapiens peripheral blood CD4+ T cell,1
786,2,ROCK2,maf_human_gene,protein,gene,Homo sapiens peripheral blood CD4+ T cell,1
787,2,ROCK2,pdcd1_human_gene,protein,gene,Homo sapiens peripheral blood CD4+ T cell,1
788,2,ROCK2,rorg_human_gene,protein,gene,Homo sapiens peripheral blood CD4+ T cell,1
789,2,ROCK2,stat3_human_gene,protein,gene,Homo sapiens peripheral blood CD4+ T cell,1
790,2,ROCK2,tob1_human_gene,protein,gene,Homo sapiens peripheral blood CD4+ T cell,1
791,2,ROCK2,txlna_human_gene,protein,gene,Homo sapiens peripheral blood CD4+ T cell,1
792,2,STAT1,ki2l4_human_gene,protein,gene,Homo sapiens natural killer,1
793,2,STAT3,a0a087wzx0_human_gene,protein,gene,Homo sapiens peripheral blood CD4+ T cell,1
794,2,STAT3,c9jl16_human_gene,protein,gene,Homo sapiens peripheral blood CD4+ T cell,1
795,2,STAT3,cxcr5_human_gene,protein,gene,Homo sapiens peripheral blood CD4+ T cell,1
796,2,STAT3,f8wb75_human_gene,protein,gene,Homo sapiens peripheral blood CD4+ T cell,1
797,2,STAT3,g3v266_human_gene,protein,gene,Homo sapiens peripheral blood CD4+ T cell,1
798,2,STAT3,icos_human_gene,protein,gene,Homo sapiens peripheral blood CD4+ T cell,1
799,2,STAT3,irf4_human_gene,protein,gene,Homo sapiens peripheral blood CD4+ T cell,1
800,2,STAT3,maf_human_gene,protein,gene,Homo sapiens peripheral blood CD4+ T cell,1
801,2,STAT3,pdcd1_human_gene,protein,gene,Homo sapiens peripheral blood CD4+ T cell,1
802,2,STAT3,prdm1_human_gene,protein,gene,Homo sapiens peripheral blood CD4+ T cell,1
803,2,STAT3,rorg_human_gene,protein,gene,Homo sapiens peripheral blood CD4+ T cell,1
804,2,STAT3,tob1_human_gene,protein,gene,Homo sapiens peripheral blood CD4+ T cell,1
805,2,THAP1,birc5_human_gene,protein,gene,Homo sapiens HEK293 embryonic kidney cell,1
806,2,THAP1,rir1_human_gene,protein,gene,Homo sapiens HEK293 embryonic kidney cell,1
807,2,THAP1,thap1_human_gene,protein,gene,Homo sapiens HEK293 embryonic kidney cell,1
808,2,tor1a_human_gene,THAP1,gene,protein,Homo sapiens HEK293 embryonic kidney cell,1
809,2,TP53,casp1_human_gene,protein,gene,In vitro,1
810,2,txlna_human_gene,STAT3,gene,protein,Homo sapiens peripheral blood CD4+ T cell,1
811,2,txnip_human_gene,FOXO3,gene,protein,Homo sapiens 2BS embryonic lung diploid fibroblast cell,1
812,2,WDR77,invo_human_gene,protein,gene,Homo sapiens keratinocyte,1
813,2,ZEB2,meox2_human_gene,protein,gene,Homo sapiens umbilical vein endotheliium,1
814,2,ZNF217,acaca_human_gene,protein,gene,Homo sapiens SNB-19 glioblastoma cell,1
815,2,ZNF217,cyp51a1_human_gene,protein,gene,Homo sapiens SNB-19 glioblastoma cell,1
816,2,ZNF217,gsk3a_human_gene,protein,gene,Homo sapiens SNB-19 glioblastoma cell,1
817,2,ZNF217,inig1_human_gene,protein,gene,Homo sapiens SNB-19 glioblastoma cell,1
818,2,ZNF217,ldrl_human_gene,protein,gene,Homo sapiens SNB-19 glioblastoma cell,1
819,2,ZNF217,lss_human_gene,protein,gene,Homo sapiens SNB-19 glioblastoma cell,1
820,2,ZNF217,sqle_human_gene,protein,gene,Homo sapiens SNB-19 glioblastoma cell,1
821,2,ZNF217,srbp1_human_gene,protein,gene,Homo sapiens SNB-19 glioblastoma cell,1
822,2,ccl4_human_gene-1,ATF3,gene,protein,Homo sapiens HEK293T embryonic kidney cell,1
823,2,ccl4_human_gene-1,EBF1,gene,protein,Homo sapiens HEK293T embryonic kidney cell,1
824,2,tnfa_human_gene-1,KLF3,gene,protein,Homo sapiens HEK293T embryonic kidney cell,1
825,2,ccl4_human_gene-1,REL,gene,protein,Homo sapiens HEK293T embryonic kidney cell,1
826,2,tnfa_human_gene-1,TFAP2A,gene,protein,Homo sapiens HEK293T embryonic kidney cell,1
827,2,ccl4_human_gene-1,TFAP2A,gene,protein,Homo sapiens HEK293T embryonic kidney cell,1
828,2,cc4l_human_gene,ATF3,gene,protein,Homo sapiens HEK293T embryonic kidney cell,1
829,2,cc4l_human_gene,EBF1,gene,protein,Homo sapiens HEK293T embryonic kidney cell,1
830,2,cc4l_human_gene,EBF3,gene,protein,Homo sapiens HEK293T embryonic kidney cell,1
831,2,cc4l_human_gene,GCM1,gene,protein,Homo sapiens HEK293T embryonic kidney cell,1
832,2,cc4l_human_gene,REL,gene,protein,Homo sapiens HEK293T embryonic kidney cell,1
833,2,cc4l_human_gene,TFAP2A,gene,protein,Homo sapiens HEK293T embryonic kidney cell,1
834,2,cc4l_human_gene,TFAP2B,gene,protein,Homo sapiens HEK293T embryonic kidney cell,1
835,2,cc4l_human_gene,TFAP2E,gene,protein,Homo sapiens HEK293T embryonic kidney cell,1
836,2,cc4l_human_gene,WT1,gene,protein,Homo sapiens HEK293T embryonic kidney cell,1
837,2,cc4l_human_gene,ZBTB10,gene,protein,Homo sapiens HEK293T embryonic kidney cell,1
838,2,cc4l_human_gene,ZNF710,gene,protein,Homo sapiens HEK293T embryonic kidney cell,1
839,2,ccl13_human_gene,EBF1,gene,protein,Homo sapiens HEK293T embryonic kidney cell,1
840,2,ccl13_human_gene,KLF4,gene,protein,Homo sapiens HEK293T embryonic kidney cell,1
841,2,ccl13_human_gene,KLF7,gene,protein,Homo sapiens HEK293T embryonic kidney cell,1
842,2,ccl15_human_gene,HNF4A,gene,protein,Homo sapiens HEK293T embryonic kidney cell,1
843,2,ccl15_human_gene,NR2F6,gene,protein,Homo sapiens HEK293T embryonic kidney cell,1
844,2,ccl18_human_gene,BHLHE22,gene,protein,Homo sapiens HEK293T embryonic kidney cell,1
845,2,ccl18_human_gene,USF1,gene,protein,Homo sapiens HEK293T embryonic kidney cell,1
846,2,ccl1_human_gene,KLF4,gene,protein,Homo sapiens HEK293T embryonic kidney cell,1
847,2,ccl1_human_gene,MAFG,gene,protein,Homo sapiens HEK293T embryonic kidney cell,1
848,2,ccl20_human_gene,HNF4A,gene,protein,Homo sapiens HEK293T embryonic kidney cell,1
849,2,ccl20_human_gene,REL,gene,protein,Homo sapiens HEK293T embryonic kidney cell,1
850,2,ccl21_human_gene,TCF4,gene,protein,Homo sapiens HEK293T embryonic kidney cell,1
851,2,ccl21_human_gene,WT1,gene,protein,Homo sapiens HEK293T embryonic kidney cell,1
852,2,ccl23_human_gene,NR2F6,gene,protein,Homo sapiens HEK293T embryonic kidney cell,1
853,2,ccl23_human_gene,SPIB,gene,protein,Homo sapiens HEK293T embryonic kidney cell,1
854,2,ccl23_human_gene,SPIC,gene,protein,Homo sapiens HEK293T embryonic kidney cell,1
855,2,ccl24_human_gene,NR1I2,gene,protein,Homo sapiens HEK293T embryonic kidney cell,1
856,2,ccl24_human_gene,NR2F6,gene,protein,Homo sapiens HEK293T embryonic kidney cell,1
857,2,ccl24_human_gene,SPIB,gene,protein,Homo sapiens HEK293T embryonic kidney cell,1
858,2,ccl24_human_gene,SPIC,gene,protein,Homo sapiens HEK293T embryonic kidney cell,1
859,2,ccl27_human_gene,KLF17,gene,protein,Homo sapiens HEK293T embryonic kidney cell,1
860,2,ccl27_human_gene,PPARG,gene,protein,Homo sapiens HEK293T embryonic kidney cell,1
861,2,ccl27_human_gene,RBPJ,gene,protein,Homo sapiens HEK293T embryonic kidney cell,1
862,2,ccl27_human_gene,TFAP2A,gene,protein,Homo sapiens HEK293T embryonic kidney cell,1
863,2,ccl27_human_gene,TFAP2B,gene,protein,Homo sapiens HEK293T embryonic kidney cell,1
864,2,ccl27_human_gene,TFAP2E,gene,protein,Homo sapiens HEK293T embryonic kidney cell,1
865,2,ccl27_human_gene,ZNF18,gene,protein,Homo sapiens HEK293T embryonic kidney cell,1
866,2,ccl28_human_gene,KLF12,gene,protein,Homo sapiens HEK293T embryonic kidney cell,1
867,2,ccl28_human_gene,KLF2,gene,protein,Homo sapiens HEK293T embryonic kidney cell,1
868,2,ccl28_human_gene,KLF4,gene,protein,Homo sapiens HEK293T embryonic kidney cell,1
869,2,ccl28_human_gene,NR2F6,gene,protein,Homo sapiens HEK293T embryonic kidney cell,1
870,2,ccl28_human_gene,TFAP2A,gene,protein,Homo sapiens HEK293T embryonic kidney cell,1
871,2,ccl2_human_gene,ELF2,gene,protein,Homo sapiens HEK293T embryonic kidney cell,1
872,2,ccl2_human_gene,ETV1,gene,protein,Homo sapiens HEK293T embryonic kidney cell,1
873,2,ccl2_human_gene,ETV7,gene,protein,Homo sapiens HEK293T embryonic kidney cell,1
874,2,ccl2_human_gene,GABPA,gene,protein,Homo sapiens HEK293T embryonic kidney cell,1
875,2,ccl2_human_gene,ZIC1,gene,protein,Homo sapiens HEK293T embryonic kidney cell,1
