gene_id,disease_id,molecule_a,molecule_b,type_a,type_b,host_organism,positive_interaction
79,1,CEBPB,3bhs2_human_gene,protein,gene,Homo sapiens KGN ovarian granulosa cell,1
80,1,bcl2_human_gene,P0C6X7-PRO_0000037311,gene,protein,In vitro,1
81,1,cdn1b_mouse_gene,FOXO3,gene,protein,In vitro,1
82,1,cdn1b_mouse_gene,FOXO3,gene,protein,In vitro,1
83,1,cdn1b_mouse_gene,FOXO3,gene,protein,In vitro,1
84,1,foxo3-myc_human,cdn1b_mouse_gene,stable complex,gene,In vitro,1
85,1,FOXO3,tnfl6_human_gene,protein,gene,In vitro,1
86,1,tnfl6_human_gene,bim_human_gene,gene,gene,In vitro,1
87,1,tnfl6_human_gene,bim_human_gene,gene,gene,In vitro,1
88,1,tnfl6_human_gene,FOXO3,gene,protein,In vitro,1
89,1,tnfl6_human_gene,FOXO3,gene,protein,In vitro,1
90,1,tnfl6_human_gene,FOXO3,gene,protein,In vitro,1
91,1,tnfl6_human_gene,tnfl6_human_gene,gene,gene,In vitro,1
92,1,ATF4,apoe_human_gene,protein,gene,Homo sapiens HEK293 embryonic kidney cell,1
93,1,ccl5_human_gene,GATA1,gene,protein,In vitro,1
94,1,ccl5_human_gene,GATA2,gene,protein,In vitro,1
95,1,ccl5_human_gene,GATA3,gene,protein,In vitro,1
96,1,cd44_human_gene,LEF1,gene,protein,In vitro,1
97,1,cd44_human_gene,LEF1,gene,protein,In vitro,1
98,1,cd44_human_gene,MLLT11,gene,protein,In vitro,1
99,1,cd44_human_gene,MLLT11,gene,protein,In vitro,1
100,1,co1a2_human_gene,SMAD2,gene,protein,In vitro,1
101,1,CREBBP,ikba_human_gene,protein,gene,Homo sapiens HEK293T embryonic kidney cell,1
102,1,ELK1,pert_human_gene,protein,gene,Homo sapiens thyroid gland,1
103,1,ELK1,tert_human_gene,protein,gene,Homo sapiens thyroid gland,1
104,1,EP300,ikba_human_gene,protein,gene,Homo sapiens HEK293T embryonic kidney cell,1
105,1,FAM47E,ccnd1_human_gene,protein,gene,Homo sapiens HEK293 embryonic kidney cell,1
106,1,FAM47E,dclk1_human_gene,protein,gene,Homo sapiens HEK293 embryonic kidney cell,1
107,1,FAM47E,ptx3_human_gene,protein,gene,Homo sapiens HEK293 embryonic kidney cell,1
108,1,FAM47E,pyr1_human_gene,protein,gene,Homo sapiens HEK293 embryonic kidney cell,1
109,1,FOXE1,pert_human_gene,protein,gene,Homo sapiens thyroid gland,1
110,1,FOXE1,tert_human_gene,protein,gene,Homo sapiens thyroid gland,1
111,1,ifi27_human_gene,IRF1,gene,protein,Homo sapiens HEK293 embryonic kidney cell,1
112,1,ikba_human_gene,MACROD1,gene,protein,Homo sapiens HEK293T embryonic kidney cell,1
113,1,irf1_human_gene,STAT6,gene,protein,In vitro,1
114,1,IRF3,ifi27_human_gene,protein,gene,Homo sapiens HEK293 embryonic kidney cell,1
115,1,IRF4,ifi27_human_gene,protein,gene,Homo sapiens HEK293 embryonic kidney cell,1
116,1,NFATC3,myocardin,protein,gene,Homo sapiens cardiomyocyte,1
117,1,NFIL3,il3_human_gene,protein,gene,In vitro,1
118,1,NFKB1,ikba_human_gene,protein,gene,Homo sapiens HEK293T embryonic kidney cell,1
119,1,NR5A2,cp7a1_human_gene,protein,gene,In vitro,1
120,1,POU5F1,ga45g_human_gene,protein,gene,In vitro,1
121,1,POU5F1,lfty2_human_gene,protein,gene,Homo sapiens NCCIT germ cell line.,1
122,1,POU5F1,ubp44_human_gene,protein,gene,In vitro,1
123,1,prkra_human_gene,Sp1,gene,protein,In vitro,1
124,1,PRMT5,ccnd1_human_gene,protein,gene,Homo sapiens HEK293 embryonic kidney cell,1
125,1,PRMT5,dclk1_human_gene,protein,gene,Homo sapiens HEK293 embryonic kidney cell,1
126,1,PRMT5,dclk1_human_gene,protein,gene,Homo sapiens HEK293 embryonic kidney cell,1
127,1,PRMT5,ptx3_human_gene,protein,gene,Homo sapiens HEK293 embryonic kidney cell,1
128,1,PRMT5,pyr1_human_gene,protein,gene,Homo sapiens HEK293 embryonic kidney cell,1
129,1,PRMT5,tnap3_human_gene,protein,gene,Homo sapiens HEK293 embryonic kidney cell,1
130,1,RUNX1,il2_human_gene,protein,gene,Homo sapiens Jurkat T-cell leukemia cell,1
131,1,STAT1,ki2l4_human_gene,protein,gene,Homo sapiens natural killer,1
132,1,THAP1,birc5_human_gene,protein,gene,Homo sapiens HEK293 embryonic kidney cell,1
133,1,THAP1,rir1_human_gene,protein,gene,Homo sapiens HEK293 embryonic kidney cell,1
134,1,THAP1,thap1_human_gene,protein,gene,Homo sapiens HEK293 embryonic kidney cell,1
135,1,tor1a_human_gene,THAP1,gene,protein,Homo sapiens HEK293 embryonic kidney cell,1
136,1,TP53,casp1_human_gene,protein,gene,In vitro,1
137,1,ccl4_human_gene-1,ATF3,gene,protein,Homo sapiens HEK293T embryonic kidney cell,1
138,1,ccl4_human_gene-1,EBF1,gene,protein,Homo sapiens HEK293T embryonic kidney cell,1
139,1,tnfa_human_gene-1,KLF3,gene,protein,Homo sapiens HEK293T embryonic kidney cell,1
140,1,ccl4_human_gene-1,REL,gene,protein,Homo sapiens HEK293T embryonic kidney cell,1
141,1,tnfa_human_gene-1,TFAP2A,gene,protein,Homo sapiens HEK293T embryonic kidney cell,1
142,1,ccl4_human_gene-1,TFAP2A,gene,protein,Homo sapiens HEK293T embryonic kidney cell,1
143,1,cc4l_human_gene,ATF3,gene,protein,Homo sapiens HEK293T embryonic kidney cell,1
144,1,cc4l_human_gene,EBF1,gene,protein,Homo sapiens HEK293T embryonic kidney cell,1
145,1,cc4l_human_gene,EBF3,gene,protein,Homo sapiens HEK293T embryonic kidney cell,1
146,1,cc4l_human_gene,GCM1,gene,protein,Homo sapiens HEK293T embryonic kidney cell,1
147,1,cc4l_human_gene,REL,gene,protein,Homo sapiens HEK293T embryonic kidney cell,1
148,1,cc4l_human_gene,TFAP2A,gene,protein,Homo sapiens HEK293T embryonic kidney cell,1
149,1,cc4l_human_gene,TFAP2B,gene,protein,Homo sapiens HEK293T embryonic kidney cell,1
150,1,cc4l_human_gene,TFAP2E,gene,protein,Homo sapiens HEK293T embryonic kidney cell,1
151,1,cc4l_human_gene,WT1,gene,protein,Homo sapiens HEK293T embryonic kidney cell,1
152,1,cc4l_human_gene,ZBTB10,gene,protein,Homo sapiens HEK293T embryonic kidney cell,1
153,1,cc4l_human_gene,ZNF710,gene,protein,Homo sapiens HEK293T embryonic kidney cell,1
154,1,ccl13_human_gene,EBF1,gene,protein,Homo sapiens HEK293T embryonic kidney cell,1
155,1,ccl13_human_gene,KLF4,gene,protein,Homo sapiens HEK293T embryonic kidney cell,1
156,1,ccl13_human_gene,KLF7,gene,protein,Homo sapiens HEK293T embryonic kidney cell,1
157,1,ccl15_human_gene,HNF4A,gene,protein,Homo sapiens HEK293T embryonic kidney cell,1
158,1,ccl15_human_gene,NR2F6,gene,protein,Homo sapiens HEK293T embryonic kidney cell,1
159,1,ccl18_human_gene,BHLHE22,gene,protein,Homo sapiens HEK293T embryonic kidney cell,1
160,1,ccl18_human_gene,USF1,gene,protein,Homo sapiens HEK293T embryonic kidney cell,1
161,1,ccl1_human_gene,KLF4,gene,protein,Homo sapiens HEK293T embryonic kidney cell,1
162,1,ccl1_human_gene,MAFG,gene,protein,Homo sapiens HEK293T embryonic kidney cell,1
